"Player_Name","Team","Position","Overall_Rating","Age","Annual_Salary"
95,"Washington Commanders","RG",87,28,18036000
96,"Atlanta Falcons","QB",87,35,30000000
97,"Philadelphia Eagles","LE",87,32,9250000
98,"Pittsburgh Steelers","LE",87,27,12000000
99,"Denver Broncos","SS",87,32,5000000
100,"Baltimore Ravens","K",87,30,5000000
101,"Pittsburgh Steelers","FS",87,23,4111942
102,"Las Vegas Raiders","RT",87,27,9000000
103,"New Orleans Saints","TE",87,33,4500000
104,"Seattle Seahawks","HB",86,25,5212500
105,"Cleveland Browns","LG",86,28,16000000
106,"Los Angeles Rams","WR",86,28,16250000
107,"Baltimore Ravens","TE",86,24,14000000
108,"Pittsburgh Steelers","LOLB",86,25,28002750
109,"San Francisco 49ers","LE",86,26,17000000
110,"Green Bay Packers","SS",86,27,9000000
111,"Detroit Lions","WR",86,26,18000000
112,"Houston Texans","QB",86,24,39000000
113,"Detroit Lions","RE",86,27,18000000
114,"Cleveland Browns","CB",86,23,7291339
115,"Baltimore Ravens","DT",86,31,6000000
116,"San Francisco 49ers","FB",86,29,5400000
117,"New Orleans Saints","CB",86,24,19400000
118,"St. Louis Cardinals","FS",86,24,14750000
119,"Washington Commanders","FS",86,25,10000000
120,"Atlanta Falcons","MLB",86,25,14250000
121,"Los Angeles Rams","P",86,30,2583333
122,"Los Angeles Rams","LT",86,38,8500000
123,"New Orleans Saints","SS",85,32,8000000
124,"New Orleans Saints","FS",85,23,10612000
125,"Cleveland Browns","WR",85,27,15100000
126,"Indianapolis Colts","C",85,27,12412500
127,"Dallas Cowboys","DT",85,32,1250000
128,"Seattle Seahawks","C",54,26,9500000
129,"Baltimore Ravens","CB",85,27,14000000
130,"New England Patriots","CB",85,33,1212500
131,"Denver Broncos","HB",85,26,3250000
132,"Carolina Panthers","WR",85,23,2792829
133,"San Francisco 49ers","LE",85,29,7000000
134,"San Francisco 49ers","RT",85,25,4585469
135,"Los Angeles Chargers","HB",85,25,6125000
136,"Los Angeles Chargers","DT",85,31,8500000
137,"Indianapolis Colts","RE",85,31,2075000
138,"New York Giants","RG",85,30,7500000
139,"Buffalo Bills","SS",85,29,9750000
140,"Tampa Bay Buccaneers","ROLB",85,27,17000000
141,"Los Angeles Chargers","TE",85,25,12500000
142,"Las Vegas Raiders","TE",85,27,7575001
143,"Indianapolis Colts","HB",85,24,2000000
144,"Indianapolis Colts","LOLB",85,25,19700000
145,"New York Jets","MLB",85,28,17000000
146,"New England Patriots","LG",85,27,16000000
147,"Houston Texans","WR",85,26,16200000
148,"Houston Texans","LT",85,26,22000000
149,"Chicago Bears","DT",84,26,10510000
150,"Seattle Seahawks","CB",84,25,13333333
151,"Green Bay Packers","ROLB",84,27,10250000
152,"Houston Texans","FS",84,23,1015856
153,"San Francisco 49ers","HB",84,28,2900000
154,"Tennessee Titans","P",84,34,3183333
155,"Philadelphia Eagles","QB",84,27,32000000
156,"New England Patriots","C",84,28,4750000
157,"Detroit Lions","CB",84,27,2250000
158,"Dallas Cowboys","QB",84,27,40000000
159,"Denver Broncos","WR",84,24,15000000
160,"Miami Dolphins","WR",84,27,10166667
161,"Baltimore Ravens","P",84,38,2475000
162,"Tennessee Titans","LT",84,29,16000000
163,"Denver Broncos","CB",84,29,3500000
164,"Cincinnati Bengals","DT",84,26,13250000
165,"Carolina Panthers","WR",84,27,14750000
166,"Cincinnati Bengals","WR",83,25,10750000
167,"San Francisco 49ers","HB",83,27,1100000
168,"Jacksonville Jaguars","HB",83,25,3250000
169,"Jacksonville Jaguars","LG",83,28,9000000
170,"Washington Commanders","P",83,30,3312500
171,"New Orleans Saints","P",83,34,1075000
172,"Chicago Bears","MLB",83,23,4619292
173,"Baltimore Ravens","CB",83,32,2500000
174,"San Francisco 49ers","QB",83,28,27500000
175,"San Francisco 49ers","FS",83,29,9500000
176,"Philadelphia Eagles","WR",83,33,2000000
177,"Atlanta Falcons","WR",83,25,2725183
178,"Pittsburgh Steelers","CB",83,31,11000000
179,"New England Patriots","CB",83,26,7000000
180,"Dallas Cowboys","LOLB",83,24,2961946
181,"Detroit Lions","LOLB",83,30,1075000
182,"Tennessee Titans","CB",83,24,13000000
183,"Kansas Chiefs","RE",83,27,20800000
184,"Jacksonville Jaguars","RE",83,25,13000000
185,"Detroit Lions","C",83,24,13500000
186,"Los Angeles Rams","LE",83,29,8000000
187,"Washington Commanders","DT",83,23,3604590
188,"Buffalo Bills","WR",83,31,7250000
189,"Detroit Lions","CB",83,29,1075000
190,"Cincinnati Bengals","LE",82,31,6800000
191,"Buffalo Bills","WR",82,30,252000
192,"Buffalo Bills","C",82,28,7062500
193,"Miami Dolphins","CB",82,27,15050000
194,"Indianapolis Colts","FS",82,24,920000
195,"Pittsburgh Steelers","LT",82,31,7000000
196,"San Francisco 49ers","LOLB",82,26,1127500
197,"Minnesota Vikings","QB",82,32,33000000
198,"Detroit Lions","HB",82,23,252000
199,"Indianapolis Colts","RT",82,24,17500000
200,"Philadelphia Eagles","RG",82,38,1750000
201,"Jacksonville Jaguars","MLB",82,26,10750000
202,"Carolina Panthers","CB",82,24,1203132
203,"Buffalo Bills","HB",82,22,974500
204,"New England Patriots","HB",82,28,2462500
205,"Kansas Chiefs","K",82,25,4055000
206,"Los Angeles Rams","TE",82,27,7250000
207,"Pittsburgh Steelers","K",82,29,4201500
208,"San Francisco 49ers","K",82,37,3625000
209,"Las Vegas Raiders","CB",82,29,3000000
210,"Dallas Cowboys","CB",82,25,7250000
211,"St. Louis Cardinals","HB",82,26,5500000
212,"Tampa Bay Buccaneers","C",82,29,10500000
213,"Philadelphia Eagles","DT",82,27,13000000
214,"New York Giants","WR",82,27,10250000
215,"Washington Commanders","DT",82,25,18000000
216,"New Orleans Saints","DT",82,26,5500000
217,"Houston Texans","MLB",82,27,990000
218,"Chicago Bears","ROLB",82,30,14000000
219,"Buffalo Bills","RE",82,32,10750000
220,"Washington Commanders","WR",82,23,961918
221,"Pittsburgh Steelers","CB",81,26,6000000
222,"Tennessee Titans","WR",81,23,1413092
223,"San Francisco 49ers","SS",81,28,1127500
224,"Pittsburgh Steelers","HB",81,25,1750000
225,"Los Angeles Chargers","WR",81,25,4937514
226,"Dallas Cowboys","MLB",81,25,990000
227,"Philadelphia Eagles","TE",81,25,14250000
228,"Baltimore Ravens","FB",81,26,3650000
229,"Chicago Bears","C",81,28,10250000
230,"Buffalo Bills","DT",81,22,4918789
231,"Denver Broncos","ROLB",81,24,6817810
232,"New York Jets","FS",81,27,10612000
233,"Atlanta Falcons","SS",81,28,1490000
234,"Jacksonville Jaguars","ROLB",81,24,14250000
235,"Detroit Lions","K",81,36,3250000
236,"Detroit Lions","DT",81,27,1127500
237,"Houston Texans","ROLB",81,30,1075000
238,"Houston Texans","WR",81,28,1075000
239,"Cincinnati Bengals","CB",81,27,13500000
240,"Kansas Chiefs","WR",81,27,5000000
241,"Washington Commanders","SS",81,26,14000000
242,"Dallas Cowboys","WR",81,24,880995
243,"Buffalo Bills","QB",77,24,43000000
244,"New England Patriots","RE",81,30,2875000
245,"Seattle Seahawks","ROLB",81,31,3255000
246,"Chicago Bears","MLB",80,30,7250000
247,"New York Giants","SS",80,24,2585559
248,"Denver Broncos","CB",80,28,6000000
249,"New Orleans Saints","HB",80,29,1075000
250,"Los Angeles Chargers","RG",80,27,3000000
251,"New York Giants","RE",80,26,21000000
252,"Green Bay Packers","LG",80,24,1695655
253,"Green Bay Packers","P",80,23,920000
254,"Minnesota Vikings","LOLB",80,28,10000000
255,"Cincinnati Bengals","RE",80,25,15000000
256,"Buffalo Bills","MLB",80,22,3164886
257,"Tennessee Titans","QB",80,32,29500000
258,"Tampa Bay Buccaneers","LOLB",80,31,12500000
259,"New England Patriots","HB",80,25,2406674
260,"New York Giants","DT",80,26,10500000
261,"Carolina Panthers","WR",80,24,11500000
262,"New England Patriots","LE",80,29,1120000
263,"Washington Commanders","RE",80,21,8640900
264,"New York Jets","CB",80,29,1075000
265,"Dallas Cowboys","K",80,32,2500000
266,"New York Jets","WR",80,27,5500000
267,"Seattle Seahawks","DT",80,26,5500000
268,"Houston Texans","CB",80,28,10500000
269,"Detroit Lions","FS",80,29,1212500
270,"Tampa Bay Buccaneers","TE",80,25,2773714
271,"Carolina Panthers","RT",80,26,17000000
272,"Baltimore Ravens","WR",80,23,2946835
273,"Tennessee Titans","C",80,31,6750000
274,"San Francisco 49ers","WR",80,24,1924339
275,"Philadelphia Eagles","HB",80,23,1340058
276,"Seattle Seahawks","HB",80,29,2250000
277,"Detroit Lions","WR",80,34,1800000
278,"Los Angeles Rams","ROLB",80,25,6000000
279,"Seattle Seahawks","P",80,24,3674765
280,"Pittsburgh Steelers","ROLB",80,27,16500000
281,"Cincinnati Bengals","FS",79,23,12911000
282,"Miami Dolphins","HB",79,25,1055000
283,"Atlanta Falcons","RE",79,24,4250000
284,"New York Giants","K",79,25,1035000
285,"Los Angeles Rams","RT",79,28,8125000
286,"Seattle Seahawks","WR",79,22,1146513
287,"Tennessee Titans","WR",79,25,12500000
288,"Tennessee Titans","DT",79,28,4050000
289,"New York Jets","CB",79,27,252000
290,"Cincinnati Bengals","SS",79,25,6000000
291,"Tampa Bay Buccaneers","HB",79,23,1767982
292,"Carolina Panthers","RE",79,22,3385046
293,"New England Patriots","LT",79,24,2860478
294,"Tennessee Titans","MLB",79,24,2894298
295,"Miami Dolphins","TE",79,24,10931000
296,"Buffalo Bills","LOLB",79,26,10375000
297,"Cleveland Browns","P",79,23,1065000
298,"Cleveland Browns","C",79,29,10850000
299,"New York Jets","DT",79,34,1212500
300,"Baltimore Ravens","LE",79,30,4000000
301,"Las Vegas Raiders","QB",79,29,25005000
302,"Washington Commanders","CB",79,26,10000000
303,"Miami Dolphins","HB",79,25,990000
304,"Jacksonville Jaguars","WR",79,26,1127500
305,"Carolina Panthers","K",79,33,4666667
306,"Las Vegas Raiders","DT",79,25,1045000
307,"Las Vegas Raiders","RG",79,29,7525000
308,"Denver Broncos","MLB",78,28,3384000
309,"Cleveland Browns","QB",78,25,8170745
310,"Tampa Bay Buccaneers","MLB",78,22,7328954
311,"St. Louis Cardinals","WR",78,23,1473719
312,"Detroit Lions","LE",78,24,1035000
313,"Las Vegas Raiders","MLB",78,26,11750000
314,"Pittsburgh Steelers","WR",78,24,1125337
315,"Cleveland Browns","TE",78,24,10931000
316,"Kansas Chiefs","DT",78,24,930600
317,"Chicago Bears","HB",78,23,1003845
318,"Green Bay Packers","HB",78,25,3000000
319,"Green Bay Packers","C",78,29,12500000
320,"New Orleans Saints","DT",78,27,9000000
321,"Houston Texans","WR",78,30,9000000
322,"New England Patriots","QB",78,31,8250000
323,"New Orleans Saints","CB",78,31,7500000
324,"Cincinnati Bengals","CB",78,28,14000000
325,"Kansas Chiefs","FS",78,24,1153817
326,"New England Patriots","FS",78,28,4250000
327,"San Francisco 49ers","HB",78,28,990000
328,"Carolina Panthers","DT",78,22,5905351
329,"Baltimore Ravens","TE",78,27,6500000
330,"Baltimore Ravens","ROLB",78,31,1075000
331,"New Orleans Saints","C",78,23,1522646
332,"Seattle Seahawks","TE",78,24,777567
333,"Chicago Bears","LG",78,22,1737539
334,"Cleveland Browns","RT",78,26,8000000
335,"St. Louis Cardinals","SS",78,22,5166014
336,"Philadelphia Eagles","CB",78,24,7500000
337,"New York Giants","LG",78,24,1862685
338,"New Orleans Saints","K",78,26,4050000
339,"New Orleans Saints","LG",78,26,11500000
340,"Buffalo Bills","CB",78,25,1750000
341,"Atlanta Falcons","FS",78,27,1127500
342,"Washington Commanders","HB",78,35,252000
343,"Seattle Seahawks","HB",78,24,2691359
344,"Philadelphia Eagles","WR",78,29,1212500
345,"Atlanta Falcons","LT",78,28,14500000
346,"New York Giants","WR",78,23,688719
347,"New York Jets","RE",78,22,8132343
348,"Los Angeles Rams","RG",78,28,990000
349,"San Francisco 49ers","WR",77,24,920000
350,"Buffalo Bills","LG",77,29,1127500
351,"Dallas Cowboys","CB",77,25,4500000
352,"Buffalo Bills","CB",77,24,8000000
353,"Chicago Bears","HB",77,25,5750000
354,"Baltimore Ravens","HB",77,25,4128000
355,"Houston Texans","HB",77,28,5000000
356,"New England Patriots","MLB",77,24,690988
357,"Las Vegas Raiders","WR",77,27,11000000
358,"Tennessee Titans","WR",77,27,1190000
359,"Denver Broncos","LG",77,25,1785571
360,"Cleveland Browns","SS",77,26,293000
361,"Seattle Seahawks","CB",77,25,689681
362,"Tampa Bay Buccaneers","CB",77,23,1844000
363,"Baltimore Ravens","SS",77,25,5100000
364,"Detroit Lions","SS",77,25,877997
365,"Jacksonville Jaguars","DT",77,33,2500000
366,"Los Angeles Rams","LOLB",77,27,16000000
367,"Cincinnati Bengals","CB",77,26,1127500
368,"Kansas Chiefs","WR",77,25,1127500
369,"Atlanta Falcons","DT",77,27,2625000
370,"Detroit Lions","TE",77,23,4955307
371,"Carolina Panthers","P",77,28,1400000
372,"Las Vegas Raiders","LE",77,23,825566
373,"St. Louis Cardinals","QB",77,23,8789661
374,"Dallas Cowboys","FS",77,25,1750000
375,"Green Bay Packers","K",77,35,4300000
376,"New Orleans Saints","RE",77,23,3435475
377,"Minnesota Vikings","C",77,25,3220718
378,"Buffalo Bills","LT",77,26,14575000
379,"Denver Broncos","RT",77,28,2245000
380,"Cleveland Browns","DT",77,26,6200000
381,"Tampa Bay Buccaneers","TE",77,29,6016667
382,"Chicago Bears","CB",77,31,1075000
383,"Los Angeles Chargers","LOLB",77,23,1439895
384,"Cincinnati Bengals","HB",77,28,1212500
385,"New York Giants","LOLB",77,29,2500000
386,"San Francisco 49ers","WR",76,25,5000000
387,"Chicago Bears","RT",76,31,2500000
388,"Jacksonville Jaguars","CB",76,21,5129047
389,"Kansas Chiefs","CB",76,24,3384000
390,"St. Louis Cardinals","HB",76,24,728089
391,"Las Vegas Raiders","DT",76,28,3500000
392,"Las Vegas Raiders","LE",76,27,8333333
393,"Pittsburgh Steelers","WR",76,24,1070241
394,"Cincinnati Bengals","QB",76,23,9047534
395,"Tampa Bay Buccaneers","CB",76,25,889713
396,"Dallas Cowboys","CB",76,26,5166667
397,"Atlanta Falcons","HB",76,24,1022500
398,"Miami Dolphins","MLB",76,24,1092500
399,"Atlanta Falcons","TE",76,27,2759008
400,"Green Bay Packers","TE",76,36,4000000
401,"New England Patriots","DT",76,26,3750000
402,"Pittsburgh Steelers","MLB",76,22,4717942
403,"Cincinnati Bengals","WR",76,23,615000
404,"New Orleans Saints","QB",76,26,5500000
405,"Las Vegas Raiders","ROLB",76,27,7000000
406,"San Francisco 49ers","ROLB",76,23,710428
407,"San Francisco 49ers","DT",76,22,3872175
408,"San Francisco 49ers","P",76,28,821018
409,"Cincinnati Bengals","LOLB",76,31,1075000
410,"Denver Broncos","RG",76,28,7100000
411,"Denver Broncos","K",76,29,4300000
412,"Cleveland Browns","DT",76,25,1187500
413,"St. Louis Cardinals","ROLB",76,29,6666667
414,"Cincinnati Bengals","SS",76,29,1075000
415,"Cleveland Browns","SS",76,32,1075000
416,"Jacksonville Jaguars","CB",76,30,1140000
417,"Baltimore Ravens","CB",76,26,4665000
418,"Seattle Seahawks","SS",76,29,252000
419,"Kansas Chiefs","LE",76,29,1075000
420,"Indianapolis Colts","DT",76,30,7666667
421,"Miami Dolphins","DT",76,25,7500000
422,"New England Patriots","RT",76,32,6500000
423,"Chicago Bears","WR",76,25,1035000
424,"St. Louis Cardinals","MLB",76,28,4500000
425,"Los Angeles Rams","QB",76,25,33500000
426,"St. Louis Cardinals","P",76,38,1500000
427,"St. Louis Cardinals","LG",76,30,7512500
428,"Buffalo Bills","CB",76,32,1500000
429,"San Francisco 49ers","CB",76,29,2377500
430,"Detroit Lions","CB",76,21,8382132
431,"Philadelphia Eagles","SS",76,26,990000
432,"Kansas Chiefs","WR",76,22,1248763
433,"Washington Commanders","HB",76,27,1635000
434,"Miami Dolphins","WR",76,28,3000000
435,"Jacksonville Jaguars","WR",76,27,1500000
436,"New York Jets","LE",76,29,3500000
437,"Carolina Panthers","MLB",76,26,13540000
438,"Washington Commanders","RE",76,23,2910315
439,"San Francisco 49ers","CB",75,24,4692000
440,"Los Angeles Rams","FS",75,22,1168424
441,"Dallas Cowboys","DT",75,27,920000
442,"Seattle Seahawks","WR",75,25,705000
443,"Pittsburgh Steelers","P",75,29,990000
444,"Dallas Cowboys","CB",75,25,252000
445,"Indianapolis Colts","CB",75,24,1979114
446,"Carolina Panthers","CB",75,25,1200000
447,"Miami Dolphins","FS",75,27,1475000
448,"Indianapolis Colts","LE",75,25,1304601
449,"Dallas Cowboys","HB",75,23,797582
450,"Carolina Panthers","HB",75,27,2750000
451,"New England Patriots","HB",75,30,2500000
452,"Los Angeles Rams","HB",75,27,1750000
453,"Baltimore Ravens","HB",75,21,1432360
454,"Jacksonville Jaguars","WR",75,27,5500000
455,"Baltimore Ravens","LOLB",75,25,5500000
456,"Washington Commanders","RT",75,29,3600000
457,"Seattle Seahawks","DT",75,24,6172500
458,"San Francisco 49ers","RE",75,25,3250000
459,"Denver Broncos","WR",75,21,3798240
460,"Denver Broncos","P",75,30,2350000
461,"St. Louis Cardinals","DT",75,32,1212500
462,"St. Louis Cardinals","TE",75,26,2333333
463,"Carolina Panthers","QB",75,27,11500000
464,"Cleveland Browns","CB",75,22,1614669
465,"Dallas Cowboys","RE",75,27,1000000
466,"Denver Broncos","HB",75,24,985005
467,"New York Jets","WR",75,26,990000
468,"New England Patriots","RE",75,25,956828
469,"Los Angeles Rams","WR",75,25,1750000
470,"Washington Commanders","C",75,27,10125000
471,"Cincinnati Bengals","RE",75,25,10000000
472,"Cleveland Browns","ROLB",75,22,707201
473,"Detroit Lions","CB",75,29,1595000
474,"Indianapolis Colts","HB",75,23,6200000
475,"New York Giants","RE",75,24,1011970
476,"Las Vegas Raiders","DT",75,25,5000000
477,"Las Vegas Raiders","WR",75,25,2500000
478,"Seattle Seahawks","K",75,29,3862500
479,"Houston Texans","MLB",75,25,14500000
480,"Minnesota Vikings","RT",75,24,18500000
481,"Minnesota Vikings","WR",75,25,990000
482,"Chicago Bears","WR",75,29,3000000
483,"Denver Broncos","LE",75,29,9000000
484,"Philadelphia Eagles","CB",75,26,1075000
485,"Las Vegas Raiders","CB",75,22,1814787
486,"Dallas Cowboys","WR",75,21,3502504
487,"Miami Dolphins","LE",75,26,7500000
488,"Green Bay Packers","LE",75,26,6775000
489,"Tennessee Titans","TE",75,25,12500000
490,"Chicago Bears","RE",74,23,689870
491,"Denver Broncos","TE",74,22,3147681
492,"Indianapolis Colts","CB",74,30,4770000
493,"Washington Commanders","CB",74,26,1127500
494,"Las Vegas Raiders","FS",74,30,1350000
495,"Kansas Chiefs","HB",74,21,2705394
496,"Detroit Lions","HB",74,21,2134730
497,"Washington Commanders","HB",74,26,990000
498,"New York Jets","C",74,27,9000000
499,"Carolina Panthers","RE",74,22,2049707
500,"Seattle Seahawks","TE",74,26,990000
501,"Buffalo Bills","DT",74,24,808760
502,"Pittsburgh Steelers","SS",74,23,2674448
503,"New Orleans Saints","CB",74,27,2300000
504,"Indianapolis Colts","WR",74,25,3384000
505,"Jacksonville Jaguars","CB",74,30,1075000
506,"Philadelphia Eagles","K",74,25,4030000
507,"New York Giants","ROLB",74,28,1500000
508,"New York Jets","MLB",74,28,990000
509,"Detroit Lions","LT",74,26,14912500
510,"Las Vegas Raiders","FB",74,24,588333
511,"Los Angeles Rams","DT",74,25,6000000
512,"Houston Texans","TE",74,34,252000
513,"San Francisco 49ers","WR",74,26,1135000
514,"Buffalo Bills","RG",74,28,4800000
515,"Cleveland Browns","WR",74,25,2377500
516,"Tampa Bay Buccaneers","P",74,26,2750000
517,"Miami Dolphins","QB",74,37,10000000
518,"Jacksonville Jaguars","SS",74,23,847008
519,"San Francisco 49ers","CB",74,29,5500000
520,"Los Angeles Rams","CB",74,29,4500000
521,"Miami Dolphins","MLB",74,23,12500000
522,"Miami Dolphins","P",74,26,1825000
523,"Philadelphia Eagles","HB",74,25,990000
524,"Minnesota Vikings","HB",74,22,867795
525,"Jacksonville Jaguars","RE",74,21,3336153
526,"New York Jets","ROLB",74,26,3000000
527,"Green Bay Packers","WR",74,25,669389
528,"Las Vegas Raiders","WR",74,24,708987
529,"New Orleans Saints","RE",74,25,15000000
530,"New Orleans Saints","DT",74,33,1075000
531,"Seattle Seahawks","LOLB",74,32,1075000
532,"Seattle Seahawks","LE",74,29,3810000
533,"Tampa Bay Buccaneers","LE",74,29,5500000
534,"Las Vegas Raiders","SS",74,29,1075000
535,"Indianapolis Colts","P",74,25,2900000
536,"Jacksonville Jaguars","CB",74,24,2000000
537,"New York Giants","FS",74,22,2097762
538,"Indianapolis Colts","SS",74,24,822009
539,"Miami Dolphins","RE",74,24,3859774
540,"Los Angeles Chargers","HB",74,24,615000
541,"Jacksonville Jaguars","DT",74,24,2538739
542,"New England Patriots","WR",74,27,1127500
543,"New England Patriots","WR",74,22,2524587
544,"San Francisco 49ers","WR",74,30,1075000
545,"St. Louis Cardinals","K",74,25,990000
546,"Minnesota Vikings","CB",74,23,2466871
547,"Miami Dolphins","SS",74,27,4916667
548,"Minnesota Vikings","WR",74,21,3280702
549,"Los Angeles Chargers","ROLB",73,27,1750000
550,"Indianapolis Colts","RG",73,28,5400000
551,"Atlanta Falcons","CB",73,24,819922
552,"Philadelphia Eagles","WR",73,23,1237806
553,"Philadelphia Eagles","WR",73,21,3317670
554,"New York Giants","ROLB",73,24,1020871
555,"New Orleans Saints","RE",73,26,1035000
556,"Houston Texans","LOLB",73,27,1127500
557,"Buffalo Bills","TE",73,32,1800000
558,"New York Jets","QB",73,23,7561924
559,"Kansas Chiefs","TE",73,25,990000
560,"New England Patriots","SS",73,24,2082976
561,"Philadelphia Eagles","CB",73,25,990000
562,"Miami Dolphins","WR",73,28,3500000
563,"Tampa Bay Buccaneers","SS",73,23,781814
564,"Jacksonville Jaguars","FS",73,26,252000
565,"Philadelphia Eagles","LE",73,23,13333333
566,"Indianapolis Colts","HB",73,21,1957289
567,"Carolina Panthers","K",73,24,850000
568,"Las Vegas Raiders","LT",73,24,18005000
569,"Houston Texans","P",73,31,1075000
570,"Buffalo Bills","WR",73,26,1022500
571,"St. Louis Cardinals","RE",73,27,10000000
572,"Miami Dolphins","QB",73,22,7568859
573,"Dallas Cowboys","CB",73,26,1250000
574,"New York Giants","CB",73,22,822715
575,"Cleveland Browns","CB",73,28,3250000
576,"Baltimore Ravens","C",73,27,990000
577,"Houston Texans","RE",73,22,1986863
578,"Houston Texans","WR",73,23,965000
579,"Chicago Bears","P",73,29,1750000
580,"Buffalo Bills","DT",73,30,6200000
581,"Los Angeles Chargers","CB",73,25,8400000
582,"Las Vegas Raiders","CB",73,29,1275000
583,"Miami Dolphins","LG",73,26,10000000
584,"Philadelphia Eagles","RE",73,25,687237
585,"New York Jets","LE",73,26,968930
586,"Detroit Lions","ROLB",73,29,1212500
587,"Washington Commanders","K",73,29,1075000
588,"New Orleans Saints","MLB",73,25,1750000
589,"Minnesota Vikings","FB",73,27,3000000
590,"Cincinnati Bengals","K",73,30,1075000
591,"Cincinnati Bengals","MLB",73,24,1236398
592,"St. Louis Cardinals","LT",73,26,14750000
593,"Las Vegas Raiders","SS",73,23,2873799
